Station,Datetime,Departures,Arrivals,Net_Flow,Risk_Type,Estimated_Bikes_To_Move,Rebalancing_Direction,Priority_Score,Priority_Level
Sherbourne St / Isabella St,2024-05-02 21:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
St. George St / Hoskin Ave,2022-10-24 15:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Simcoe St / Queen St W,2024-05-02 09:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Simcoe St / Queen St W,2024-04-09 15:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Queens Quay W / Lower Simcoe St,2022-07-16 23:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Queens Quay W / Lower Simcoe St,2022-07-30 16:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Bay St / College St (East Side),2022-12-08 08:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Queens Quay W / Lower Simcoe St,2022-09-01 19:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Queens Quay W / Lower Simcoe St,2024-05-18 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Simcoe St / Queen St W,2024-02-20 19:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Strachan Ave / East Liberty St - SMART,2024-05-18 15:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Simcoe St / Queen St W,2022-10-30 15:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Simcoe St / Queen St W,2024-02-13 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Simcoe St / Queen St W,2024-02-08 09:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Simcoe St / Queen St W,2024-01-25 15:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Bay St / College St (East Side),2024-03-01 18:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Sherbourne St / Isabella St,2022-07-12 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Riverdale Park North (Broadview Ave),2024-06-11 21:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
St. George St / Bloor St W,2024-03-27 18:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
St. George St / Bloor St W,2024-04-05 16:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
St. George St / Bloor St W,2024-05-05 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
St. George St / Bloor St W,2024-05-18 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Robert St / Bloor St W - SMART,2022-10-20 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Richmond St W / York St,2024-06-12 07:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
St. George St / Bloor St W,2024-05-27 19:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Robert St / Bloor St W - SMART,2024-05-21 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Richmond St W / York St,2024-05-04 13:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Richmond St W / York St,2024-05-01 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Richmond St W / York St,2024-03-21 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
St. George St / Bloor St W,2024-06-04 16:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Shaw St / King St W,2024-04-10 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
St. George St / Bloor St W,2024-06-12 13:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Simcoe St / King St W,2024-02-06 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Simcoe St / Dundas St W,2024-03-11 16:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
St. George St / Bloor St W,2024-06-13 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Simcoe St / Adelaide St W,2022-08-03 08:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
St. George St / Hoskin Ave,2022-08-16 09:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Rusholme Park Cres / College St,2022-06-07 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Simcoe St / Adelaide St W,2022-07-12 19:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Shuter St/River St,2024-06-01 11:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Sherbourne St / Wellesley St E,2024-06-07 18:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Sherbourne St / Wellesley St E,2024-05-30 16:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Sherbourne St / Wellesley St E,2024-05-28 16:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Sherbourne St / Wellesley St E,2024-05-10 12:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
St. George St / Bloor St W,2024-06-08 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Bathurst St/Queens Quay(Billy Bishop Airport),2024-05-18 19:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Spadina Ave / Adelaide St W,2025-12-04 09:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Bathurst St/Queens Quay(Billy Bishop Airport),2024-05-19 15:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Bathurst St/Queens Quay(Billy Bishop Airport),2024-05-29 08:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Spadina Ave / Adelaide St W,2024-06-11 18:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Spadina Ave / Adelaide St W,2024-04-26 18:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Bay St / Albert St,2024-04-02 08:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Spadina Ave / Adelaide St W,2024-04-09 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Spadina Ave / Adelaide St W,2024-02-28 15:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Spadina Ave / Adelaide St W,2024-02-21 19:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
St. George St / Hoskin Ave,2024-02-01 19:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Spadina Ave / Adelaide St W,2024-01-30 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Spadina Ave / Adelaide St W,2022-07-14 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Sorauren Ave / Geoffrey St - SMART,2024-05-20 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
St. George St / Hoskin Ave,2024-02-22 19:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Strachan Ave / East Liberty St - SMART,2024-05-16 15:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
St. George St / Hoskin Ave,2024-04-15 19:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Spadina Ave / Fort York Blvd,2024-06-13 08:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Spadina Ave / Harbord St - SMART,2024-02-01 08:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
St. George St / Bloor St W,2022-08-05 14:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
St. George St / Bloor St W,2022-04-20 08:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
St. Andrew's Playground Park,2024-06-11 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Spadina Ave / Willcocks St,2024-05-29 18:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Spadina Ave / Willcocks St,2024-05-17 13:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Spadina Ave / Harbord St - SMART,2024-02-05 21:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Spadina Ave / Willcocks St,2022-05-29 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Spadina Ave / Sullivan St,2024-06-01 12:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Spadina Ave / Sullivan St,2024-04-15 19:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Spadina Ave / Harbord St - SMART,2024-05-30 10:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Spadina Ave / Sullivan St,2024-03-29 16:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Spadina Ave / Harbord St - SMART,2024-05-30 18:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
St. George St / Hoskin Ave,2024-04-06 16:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Simcoe St / Queen St W,2022-08-09 08:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Simcoe St / Queen St W,2022-07-19 08:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Simcoe St / Queen St W,2022-05-22 20:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Simcoe St / Michael Sweet Ave,2024-03-12 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Simcoe St / King St W,2025-12-12 08:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Simcoe St / King St W,2024-06-11 18:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Simcoe St / King St W,2024-05-13 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Soho St / Queen St W,2024-06-12 20:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Soho St / Queen St W,2024-05-30 11:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Soho St / Queen St W,2024-05-22 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Soho St / Queen St W,2024-05-02 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Soho St / Queen St W,2024-04-18 18:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Bay St / College St (East Side),2024-03-03 09:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Soho St / Queen St W,2022-10-16 16:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Bay St / College St (East Side),2024-03-15 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Spadina Ave / Blue Jays Way,2024-05-23 08:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Spadina Ave / Bulwer St- SMART,2024-05-31 20:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Spadina Ave / Fort York Blvd,2022-08-03 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Spadina Ave / Fort York Blvd,2022-09-14 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Spadina Ave / Fort York Blvd,2024-05-24 12:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Bathurst St/Queens Quay(Billy Bishop Airport),2024-05-13 19:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Spadina Ave / Fort York Blvd,2024-05-26 14:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Bathurst St/Queens Quay(Billy Bishop Airport),2024-04-28 10:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Soho St / Queen St W,2022-07-16 15:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Simcoe St / Wellington St W South,2024-04-24 08:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Bathurst St/Queens Quay(Billy Bishop Airport),2022-07-19 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Bathurst St/Queens Quay(Billy Bishop Airport),2022-06-05 18:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Simcoe St / Wellington St W South,2024-05-29 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Bathurst St / Front St W,2024-06-10 20:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Bathurst St / Front St W,2024-06-04 19:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Soho St / Queen St W,2022-06-15 18:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Soho St / Queen St W,2022-07-15 08:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Simcoe St / Queen St W,2024-05-19 23:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Ontario St / Adelaide St E -SMART,2024-05-14 09:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Ontario St / Adelaide St E -SMART,2024-05-22 08:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Ossington Ave / Bruce St,2024-05-13 09:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Ossington Ave / College St,2024-04-13 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Bay St / Queens Quay W (Ferry Terminal),2022-07-28 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Bay St / Queens Quay W (Ferry Terminal),2022-07-29 16:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Bay St / Queens Quay W (Ferry Terminal),2022-08-03 16:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Bay St / Queens Quay W (Ferry Terminal),2022-08-14 19:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Bay St / College St (East Side),2024-05-10 16:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Bay St / College St (East Side),2022-05-17 12:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Bay St / College St (East Side),2024-05-28 15:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Bay St / College St (East Side),2024-06-07 18:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Bay St / College St (East Side),2024-06-10 09:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Ossington Ave / Harrison St,2024-05-04 16:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Palmerston Ave / Dundas St W,2024-05-02 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Palmerston Ave / Dundas St W,2024-05-07 13:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Northern Dancer Blvd / Lake Shore Blvd E,2025-08-10 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Oak St / Sumach St,2022-07-26 20:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Ontario Place Blvd / Lake Shore Blvd W,2024-05-25 19:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Bay St / College St (East Side),2024-05-26 18:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Queen St E / Rushbrooke Ave,2022-09-10 20:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Queen St W / John St,2022-07-10 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Queen St W / John St,2022-07-27 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Queen St W / John St,2022-08-19 16:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Palmerston Ave / Dundas St W,2024-05-14 18:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Parliament St / Aberdeen Ave,2024-04-24 18:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Phoebe St / Spadina Ave,2022-06-28 18:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Phoebe St / Spadina Ave,2022-12-16 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Phoebe St / Spadina Ave,2024-05-22 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Ontario Place Blvd / Lake Shore Blvd W (East),2022-09-19 15:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Polson Pier,2022-08-04 21:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Polson Pier,2022-08-24 20:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Polson Pier,2024-05-07 20:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Polson Pier,2024-05-15 18:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Polson Pier,2024-05-20 19:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Polson Pier,2024-05-22 18:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Polson Pier,2024-06-04 18:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Polson Pier,2024-06-05 20:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Ontario Place Blvd / Lake Shore Blvd W (East),2022-08-12 19:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Ontario Place Blvd / Lake Shore Blvd W (East),2022-09-03 19:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Polson Pier,2022-07-13 21:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Northern Dancer Blvd / Lake Shore Blvd E,2024-05-20 22:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Mill St / Parliament St,2024-05-30 19:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Mill St / Parliament St,2024-05-31 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Mutual St / Shuter St,2024-05-23 08:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Mutual St / Shuter St,2024-05-30 19:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Navy Wharf Crt / Bremner Blvd,2024-05-16 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Navy Wharf Crt / Bremner Blvd,2024-05-23 12:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Nelson St / Duncan St,2022-06-22 19:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Nelson St / Duncan St,2022-09-16 16:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Ontario Place Blvd / Lake Shore Blvd W,2024-05-25 23:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Nelson St / Duncan St,2024-06-01 11:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Nelson St / Duncan St,2024-06-06 09:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Niagara St / King St W - SMART,2024-05-07 21:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Niagara St / Portland St,2024-02-04 14:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Niagara St / Richmond St W,2024-04-26 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Martin Goodman Trail (Marilyn Bell Park),2022-05-23 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Martin Goodman Trail (Marilyn Bell Park),2022-07-17 23:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Martin Goodman Trail (Marilyn Bell Park),2024-05-24 16:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Martin Goodman Trail / Ontario Dr,2022-05-15 16:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Martin Goodman Trail / Ontario Dr,2022-06-23 22:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Nelson St / Duncan St,2024-05-30 18:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Ontario Place Blvd / Lake Shore Blvd W,2025-07-08 22:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Ontario Place Blvd / Lake Shore Blvd W (East),2022-04-12 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Ontario Place Blvd / Lake Shore Blvd W (East),2022-05-11 19:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Ontario Place Blvd / Lake Shore Blvd W (East),2022-05-14 18:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Ontario Place Blvd / Lake Shore Blvd W (East),2022-06-04 15:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Ontario Place Blvd / Lake Shore Blvd W (East),2022-06-11 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Ontario Place Blvd / Lake Shore Blvd W (East),2022-06-11 18:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Ontario Place Blvd / Lake Shore Blvd W (East),2022-06-19 12:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Ontario Place Blvd / Lake Shore Blvd W (East),2022-08-01 15:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Northern Dancer Blvd / Lake Shore Blvd E,2024-05-20 15:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Niagara St / Richmond St W,2024-05-31 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Niagara St / Richmond St W,2024-06-05 18:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Niagara St / Richmond St W,2024-06-08 13:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Niagara St / Tecumseth St,2024-05-03 12:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Niagara St / Tecumseth St,2024-05-18 16:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Northern Dancer Blvd / Lake Shore Blvd E,2022-05-23 15:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Northern Dancer Blvd / Lake Shore Blvd E,2022-06-23 18:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Northern Dancer Blvd / Lake Shore Blvd E,2022-07-01 19:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Northern Dancer Blvd / Lake Shore Blvd E,2022-08-01 15:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Northern Dancer Blvd / Lake Shore Blvd E,2024-05-20 13:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Niagara St / Richmond St W,2024-05-15 08:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Bay St / Bloor St W (East Side),2024-03-05 14:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Bay St / Bloor St W (East Side),2024-05-07 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Bay St / Bloor St W (East Side),2024-06-11 18:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Bay St / Charles St W - SMART,2024-06-07 17:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Strachan Ave / East Liberty St - SMART,2024-05-16 08:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Bay St / College St (East Side),2022-08-03 11:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Bay St / College St (East Side),2022-08-05 12:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Bay St / College St (East Side),2022-08-20 22:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Bay St / College St (East Side),2022-10-03 16:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Low
Queen St E / George St (Moss Park),2022-10-07 19:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
Bay St / College St (East Side),2022-12-06 17:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Low
Queens Quay E / Lower Sherbourne St,2024-05-31 18:00:00,3,0,-3,Shortage Risk,3,Deliver bikes to station,4.1588830833596715,Medium
Queens Quay E / Merchants' Wharf,2024-05-06 19:00:00,0,3,3,Overflow Risk,3,Remove bikes from station,4.1588830833596715,Medium
